drug,duration_hours_mean_mean,duration_hours_mean_std,duration_hours_mean_count,duration_hours_std_mean,duration_hours_std_std,duration_hours_std_count,duration_hours_cv_mean,duration_hours_cv_std,duration_hours_cv_count,n_points_mean_mean,n_points_mean_std,n_points_mean_count,n_points_std_mean,n_points_std_std,n_points_std_count,n_points_cv_mean,n_points_cv_std,n_points_cv_count,mean_o2_mean_mean,mean_o2_mean_std,mean_o2_mean_count,mean_o2_std_mean,mean_o2_std_std,mean_o2_std_count,mean_o2_cv_mean,mean_o2_cv_std,mean_o2_cv_count,std_o2_mean_mean,std_o2_mean_std,std_o2_mean_count,std_o2_std_mean,std_o2_std_std,std_o2_std_count,std_o2_cv_mean,std_o2_cv_std,std_o2_cv_count,min_o2_mean_mean,min_o2_mean_std,min_o2_mean_count,min_o2_std_mean,min_o2_std_std,min_o2_std_count,min_o2_cv_mean,min_o2_cv_std,min_o2_cv_count,max_o2_mean_mean,max_o2_mean_std,max_o2_mean_count,max_o2_std_mean,max_o2_std_std,max_o2_std_count,max_o2_cv_mean,max_o2_cv_std,max_o2_cv_count,range_o2_mean_mean,range_o2_mean_std,range_o2_mean_count,range_o2_std_mean,range_o2_std_std,range_o2_std_count,range_o2_cv_mean,range_o2_cv_std,range_o2_cv_count,consumption_rate_mean_mean,consumption_rate_mean_std,consumption_rate_mean_count,consumption_rate_std_mean,consumption_rate_std_std,consumption_rate_std_count,consumption_rate_cv_mean,consumption_rate_cv_std,consumption_rate_cv_count,consumption_r2_mean_mean,consumption_r2_mean_std,consumption_r2_mean_count,consumption_r2_std_mean,consumption_r2_std_std,consumption_r2_std_count,consumption_r2_cv_mean,consumption_r2_cv_std,consumption_r2_cv_count,baseline_o2_mean_mean,baseline_o2_mean_std,baseline_o2_mean_count,baseline_o2_std_mean,baseline_o2_std_std,baseline_o2_std_count,baseline_o2_cv_mean,baseline_o2_cv_std,baseline_o2_cv_count,time_to_min_mean_mean,time_to_min_mean_std,time_to_min_mean_count,time_to_min_std_mean,time_to_min_std_std,time_to_min_std_count,time_to_min_cv_mean,time_to_min_cv_std,time_to_min_cv_count,min_o2_fraction_mean_mean,min_o2_fraction_mean_std,min_o2_fraction_mean_count,min_o2_fraction_std_mean,min_o2_fraction_std_std,min_o2_fraction_std_count,min_o2_fraction_cv_mean,min_o2_fraction_cv_std,min_o2_fraction_cv_count,consumption_change_mean,consumption_change_std,consumption_change_count,consumption_ratio_mean,consumption_ratio_std,consumption_ratio_count,n_segments_mean,n_segments_std,n_segments_count,total_monitored_hours_mean,total_monitored_hours_std,total_monitored_hours_count,n_events_mean,n_events_std,n_events_count,cv_o2_mean_mean,cv_o2_mean_std,cv_o2_mean_count,cv_o2_std_mean,cv_o2_std_std,cv_o2_std_count,cv_o2_cv_mean,cv_o2_cv_std,cv_o2_cv_count,fourier_dim_0,fourier_dim_1,fourier_dim_2,fourier_dim_3,fourier_dim_4,fourier_dim_5,fourier_dim_6,fourier_dim_7,fourier_dim_8,fourier_dim_9,fourier_dim_10,fourier_dim_11,fourier_dim_12,fourier_dim_13,fourier_dim_14,fourier_dim_15,fourier_dim_16,fourier_dim_17,fourier_dim_18,fourier_dim_19,fourier_dim_20,fourier_dim_21,fourier_dim_22,fourier_dim_23,fourier_dim_24,fourier_dim_25,fourier_dim_26,fourier_dim_27,fourier_dim_28,fourier_dim_29,fourier_dim_30,dili_risk_numeric
Amifostine,58.28232638888889,0.7270977484167365,32,23.831560149979246,0.08718996972620026,32,0.40894872113340175,0.004366180264114307,32,54.81875,0.15724726550551016,32,25.288097280347653,1.0691757295201854,32,0.4613384711908549,0.020167811970171392,32,7.6450396,6.279361,32,6.052566811442375,3.4699568319768095,32,1.1113409688696265,0.9931048400610543,32,7.1298532,1.1748277,32,2.2437069565057755,0.9986031182265542,32,0.3117268,0.1203679,32,-0.24718753,4.8360114,32,6.239796757698059,4.537712142964981,32,5.330389002338052,21.81206257684584,32,34.314896,6.1468816,32,11.450752943754196,4.3485387106441316,32,0.3311613732948899,0.10464952895392511,32,34.562084,7.3403225,32,12.47273214161396,3.47986307468434,32,0.36079317,0.070774294,32,0.07345821916787262,0.09474110537937626,32,0.2883402333572757,0.14880817599370272,32,4.6564160475135,15.074810941834714,32,0.31641563759556846,0.08074981303978103,32,0.26698400305498543,0.05343054354661908,32,0.8723923958927957,0.17218227624548071,32,10.938762849297895,5.881266619903418,32,7.256878760310665,2.768792497780027,32,0.788133286060681,0.4966283760943971,32,40.34833333333333,8.84905852608561,32,19.677059927273092,2.9336804947684296,32,0.5258556479777908,0.19989174422901063,32,0.2844512347259187,0.1440803799835619,32,0.21476190579139984,0.09537045936290102,32,0.7802338184807969,0.15975473655776565,32,-0.04548990025297956,0.1475954531915647,32,0.9376186730549609,1.1058181533927844,32,5.96875,0.1767766952966369,32,347.74895833333335,6.6885808341731865,32,5.0,0.0,32,4.394615245051682,5.405912222003926,32,5.939970350358635,9.965196597726722,32,1.031052186153829,0.47007542843698885,32,-0.14220773959163033,-0.06504792259514412,0.7932853131258227,1.5198267703170025,1.3734487715276023,0.8028436541447422,0.47056163541152163,0.7690593143354477,0.410040845352223,-0.04171637770573957,0.42882104605947047,1.8487084806434435,1.8028869860795411,1.0823083374495162,1.1150431106802252,1.5575171304134443,1.0297244834523844,-0.7564103621266443,-0.6078774599288944,0.49247478033965625,0.093615168761975,0.2484893207455277,-0.42007713966625426,-0.4095181297600057,0.005730140323979861,-0.19597321438099358,0.0,0.0,0.0,0.0,0.0,1.0
Anastrozole,61.70104166666667,1.1708825325445429,32,27.863906978407034,0.1574416296199247,32,0.451710881871666,0.006519609240585161,32,60.36302083333333,5.411764919208022,32,27.601870352902914,0.7018980161684873,32,0.46235258233407084,0.0602476881978715,32,-3.6828716,1.3408127,32,1.25490896217525,0.584608935698581,32,0.0,0.0,32,5.213346,0.7831573,32,2.0682349745184183,0.6781136237045624,32,0.3995102,0.12684864,32,-8.721042,1.4436868,32,1.2322117984294891,0.5585182001833477,32,0.0,0.0,32,21.461666,5.7699685,32,13.170664280653,3.051112375638977,32,0.6304946495220065,0.138526055772739,32,30.182709,6.035258,32,13.301592528820038,3.154395579362648,32,0.44524556,0.095824175,32,-0.04377206010829397,0.0788056357460188,32,0.23924282576487663,0.0741427838128361,32,11.127164052056733,45.4831853833479,32,0.254083617086472,0.09793207026066222,32,0.1923463105574258,0.06402826292857278,32,0.8034325108351272,0.19179231949683498,32,-3.285542029169555,1.991103149083642,32,3.9855791022594445,1.0934540524995375,32,2.5657731774337122,13.380354574973278,32,33.374548611111116,8.81625374952285,32,17.633450803569527,5.32860939308831,32,0.5694098749366947,0.2488023261832106,32,0.44947702773787473,0.1523772905310974,32,0.20320792717832198,0.05597244186770628,32,0.4829596015035317,0.14676347416603905,32,0.2693802713427868,0.13966029036124153,32,-0.39113267313488564,0.718139302277604,32,4.90625,0.3901509219974803,32,302.78489583333334,24.543463517248146,32,4.0,0.0,32,9.366555213928223,4.759114539111397,6,4.730026404062907,7.586539592373693,6,0.34136130412419635,0.5315331236564236,6,-0.44415114937267736,-0.5337132393625807,-0.23887148435447042,-0.08739762187589797,0.8277300569070538,1.2364466215437144,0.6312674133592734,0.0477206896559969,0.6664764815182759,1.0000317840680941,1.9506577462694268,0.5583566667553839,-0.33851799101207886,1.0678943768980198,1.8566167656624442,0.9183458013384567,-0.4479522820410943,0.3353139301006704,1.3292719578310588,1.723494511220539,1.1942272716933755,0.8533759322999,-0.7454970483925567,-0.4881709253145695,0.8753632012581376,-0.2955892190222766,0.0,0.0,0.0,0.0,0.0,1.0
Arsenic trioxide,62.239999999999995,0.0,31,24.101004128459042,0.0,31,0.3872269300844962,0.0,31,58.94193548387097,3.188392927850266,31,21.0395828707497,0.17649658830765846,31,0.358270058506331,0.025247021583091812,31,3.5810728,3.676008,31,4.137756762966033,2.0359442275906376,31,2.2427851490436064,2.216580614131552,31,7.6754594,1.1652809,31,1.8959816463531987,0.51571544689067,31,0.25359142,0.083960906,31,-3.3529034,3.125011,31,3.879728997907331,2.347404096459295,31,1.0085145158152427,4.600159880171424,31,35.65161,5.2002177,31,10.34805783917827,2.0093638910044773,31,0.30015520463066714,0.10732103678835488,31,39.004517,5.424249,31,12.90105935065977,1.8091798618461326,31,0.33595252,0.06897517,31,0.02340741544777998,0.10046838725665543,31,0.4239133916598934,0.09546566624455279,31,8.416956223149736,6.003927250136067,31,0.30969838179817283,0.04779254396842964,31,0.3073732346496842,0.030522051807093217,31,1.0087317386654295,0.14280338542948837,31,0.44545748685286984,3.3744217068562383,31,9.470637959991295,2.4725924275149835,31,4.098953603861753,10.531154987612641,31,27.501505376344085,5.159194944283292,31,11.3995063385044,4.727985872759277,31,0.42015243954402937,0.16838161317323855,31,0.4916549096080929,0.08138469028768341,31,0.24091742674270242,0.04301863962978951,31,0.49877291159279485,0.0996777291211813,31,0.05398229323606735,0.10880759512515889,31,0.779732507769144,0.44858426929670586,31,5.0,0.0,31,311.2,0.0,31,5.0,0.0,31,4.174137865343401,3.987191583319542,31,4.094837236788965,5.112735537640921,31,0.7867045236691352,0.41886251040462685,31,-0.3863647328696191,-0.34548957571717315,0.10765111884474865,1.338011082466147,1.5494590749866284,0.40267904794012926,-0.02247965176116354,1.8809191352358954,1.8421452731509442,0.516462867839875,0.7629444382281448,2.504411443932619,1.585690209892663,0.08720244146090383,0.7622436396169673,1.5695248211308315,0.8757723186450823,-1.0453034401344528,0.07086926635007938,1.7937328572367177,0.6987033640172331,0.3941493392560605,-0.5713514299800859,-0.4539239751209036,0.7883998951647218,-0.26530751053940665,0.0,0.0,0.0,0.0,0.0,2.0
Avapritinib,90.36146953405019,5.672855359789668,31,6.741631706643208,5.271377474033585,31,0.0788220523078834,0.07409717028531224,31,78.73118279569891,13.357317138817711,31,9.81455101003258,8.61613692408561,31,0.1405077098483901,0.14167423530946704,31,10.074486,23.46685,31,3.262569091012401,2.5218902531513008,31,0.6971556510656111,2.4796732619773185,31,7.6364617,2.482781,31,3.3572539360292497,2.43900374135853,31,0.43814602,0.22465198,31,-0.45107523,18.753304,31,5.552362941926526,9.554654775359598,31,0.4158271916450993,1.332971053867044,31,36.770428,20.532389,31,10.825912883204799,7.1170687443833724,31,0.4425091819777604,0.37018997425336414,31,37.221508,8.909916,31,14.698647053011003,8.278444800729996,31,0.40961528,0.22287452,31,0.023658970099584536,0.1137895432944577,31,0.09199316211883288,0.10913109094586573,31,0.39681302431163745,0.4549753710703431,31,0.2063664177183291,0.14204960699404243,31,0.1441543127397129,0.09310074296107936,31,0.7323462847312537,0.3502260328835724,31,10.920319731128888,19.753388389862256,31,6.314892189421001,7.863406754267925,31,0.426435690692663,0.6576689881276175,31,49.51523297491039,17.77646644282504,31,20.202666744415076,9.91341866833799,31,0.4896966064108452,0.2782233204049591,31,0.45446717102781115,0.18429034584479506,31,0.21637499831256463,0.11071205914932666,31,0.4957581624287369,0.2762244972321724,31,0.05979928237736083,0.13227253027059627,30,1.2931702448941682,1.4182083915881118,30,2.903225806451613,0.39621868622242934,31,261.8666666666667,37.81517552517772,31,2.0,0.0,31,33.82496130703525,143.73336645300458,22,0.24287331917069174,0.4754240171550487,22,0.2894514392722737,0.37712416186124653,22,0.3567971858204472,0.2881968982903934,0.007379594638115096,1.0691378605088646,1.4392822075981624,-0.7894474529727071,1.1404027789531128,1.7526660693425118,-0.4491891660177542,0.0035460600990546076,1.8462559593754864,0.2357159342098689,-0.439619838438137,1.1514020716358424,0.3722667224347029,-0.7986925775972361,0.8743597629130975,0.8942027356914585,-1.0017794160931044,0.5338842968457889,0.2941539792147356,-0.14070767589790067,-0.20470038697712803,0.03237081762313375,0.5927324564545362,0.4287949602947729,0.0,0.0,0.0,0.0,0.0,1.0
Axitinib,78.88252873563218,1.176410890577849,29,11.344622561480215,2.9100854066870134,29,0.14409336161761774,0.03707620029442955,29,49.954597701149424,1.1024944349976908,29,15.034910245159796,1.2254610294055708,29,0.3011181003862843,0.02557446832222751,29,4.9523754,15.999921,29,7.162843740705786,10.893902417929338,29,0.44912895868564473,0.9990147966206081,29,3.8010962,0.9267523,29,1.8072274923324585,0.6911315319359699,29,0.50846285,0.22372904,29,1.6679311,13.940518,29,7.133369543942912,11.021543804164295,29,0.3838472119693098,0.7283922356721628,29,26.235432,15.149723,29,15.032275726055277,4.253753358231769,29,0.7425067697105736,0.39143173615286486,29,24.567501,4.3797646,29,13.919360834976722,3.967351867743861,29,0.5839471,0.18675914,29,-0.07169482754916684,0.05945319999339191,29,0.05846870816406455,0.040336450326203394,29,0.0,0.0,29,0.2563890479721339,0.22204720065377342,29,0.18572232982729484,0.1350215042419285,29,0.7743569477801773,0.2765862672358749,29,2.715498476533175,14.290583003666727,29,7.271114243145737,10.763377571237045,29,0.38343858602028214,0.7614681969802709,29,37.35804597701149,17.1903033879347,29,19.369688502775368,8.318344094773863,29,0.6603052464278246,0.42664948617943427,29,0.5326825742850944,0.21703568437611137,29,0.22001523807608742,0.09877678608415896,29,0.4659739241492169,0.2286337354791601,29,-0.01094634096836783,0.1009375091530579,29,3.756315836003603,12.78790486300056,29,4.655172413793103,0.8567322497625797,29,366.39137931034486,64.61704459963688,29,5.0,0.0,29,3.9372249364852907,8.128584017869189,10,5.338787806034088,14.204202831444546,10,0.9032367765903473,0.4241581180149722,10,-0.18161294038490022,-0.1495140240151735,-0.4321918217302053,-0.9175415303114013,-0.7564499355056774,-0.7926347067935023,-1.1675448533441568,-0.714078669990949,-0.33042027786607303,-0.8237213502589841,-1.0328765931912562,-0.6999740724354829,-0.3928298853106966,-0.49085407386280905,-0.812539045096367,-0.8347840710673423,-0.1409369699478797,0.16472882406907569,-0.7679947872935574,-0.8917039147495979,-0.41085757847327453,0.15858290561173075,0.14232210107962373,-0.0011243327911891754,-0.6030130023299306,-0.21792068576912596,0.0,0.0,0.0,0.0,0.0,2.0
Belzutifan,90.20537634408602,5.290108496921355,31,6.683946831370983,4.12112308351436,31,0.07707970494479206,0.05523376803076456,31,71.47311827956989,16.046869821349002,31,16.11781031957403,12.217976608582246,31,0.27085330259191487,0.24583390778923606,31,-2.551517,2.5337422,31,2.5970202645947857,1.071866385267383,31,0.7089386159373868,1.6664265480643121,31,6.331618,1.5574685,31,3.140203091406053,0.8753836181451288,31,0.5056689,0.12698232,31,-9.600806,1.863368,31,1.3195693733230713,0.7415903060895251,31,0.0,0.0,31,22.896774,6.3802047,31,15.944202684587047,4.772076223235864,31,0.7504389776337531,0.26985750328017344,31,32.49758,6.3962474,31,15.92602780557448,5.1182014873964174,31,0.50316197,0.15807502,31,0.023223970561479727,0.15213093825302532,31,0.11046004387624202,0.12953383222783335,31,0.5308787996174595,1.1838241920178778,31,0.1957595194544171,0.13278834307265205,31,0.13295133218156585,0.10371815828871747,31,0.7207433756155869,0.3465488194846927,31,-0.9253601776862542,4.981898905746086,31,3.7349134256023797,1.8731854179647174,31,0.8698488749478506,1.7215379636927948,31,52.320071684587816,16.112835567188853,31,20.963093716738726,10.313404798130161,31,0.4844193033289915,0.32290116456318935,31,0.41151128784147956,0.15738938982558717,31,0.24676875095734083,0.12164287174189903,31,0.5968266016609073,0.2411570080151071,31,0.020234882673206327,0.056399447567804725,31,0.12479483233003472,3.298199420045516,31,2.870967741935484,0.3407771005482389,31,259.03602150537637,34.261181764004995,31,2.0,0.0,31,13.830822245279949,28.50092908296534,15,0.48215033213297526,1.1827231688794588,15,0.10533513426780701,0.23010291206309771,15,-0.3267375511810671,-0.27563149585185404,-0.057567754285533915,0.2987746967958778,0.5494535532423999,-0.7821924207415341,0.4602193295037434,1.0299650766513142,-0.4743582371325359,-0.26378520366929376,1.1562998188768923,0.10535623609723153,-0.5693710555987892,0.6620411617958545,0.24916763977482906,-0.6545849761460187,0.6691359303814857,0.6608160083283989,-0.9056095658954774,0.3844090590890873,0.04195641878555762,0.16477655881441278,-0.1654407024479784,-0.2075897296725701,0.2521261742553246,-0.27646865683255245,0.0,0.0,0.0,0.0,0.0,1.0
Binimetinib,62.12956989247312,2.5160363805200343,31,26.78294868112528,0.7288311912320296,31,0.43206413745306643,0.02769080454959154,31,41.16182795698925,6.378832462467516,31,23.286864255536194,5.128895060862018,31,0.5598391377745839,0.05775895959895335,31,-0.7794528,2.880928,31,3.7805048419583227,2.3571149078256775,31,1.938650111998281,5.244660942821347,31,10.675332,1.320684,31,4.27667978502089,1.1253255830960682,31,0.40049595,0.09895803,31,-9.906559,2.7346826,31,3.249054260792271,3.0191319043422156,31,0.0,0.0,31,40.08296,5.635437,31,9.542711081043366,4.63908883473796,31,0.25564772034845046,0.1608862270564726,31,49.989517,5.7780595,31,9.316132830035302,4.249925315328279,31,0.1958368,0.11013154,31,-0.8511752930691688,0.21352938920096456,31,1.4897065902124813,0.4001351818593769,31,0.0,0.0,31,0.19503225588652776,0.06439179051111385,31,0.19034370447471438,0.02999646475013013,31,1.036042505663635,0.24236641544650958,31,-6.018810083519563,2.619295030184396,31,8.358168543314585,2.3230232869591623,31,0.5895841555540605,3.28266565018313,31,40.870259856630824,7.268144484927592,31,23.836909408575526,2.747105052025515,31,0.5983340398306377,0.11275894449626803,31,0.4043197573146693,0.09844867026572329,31,0.25646645894680864,0.06625259963100978,31,0.6535151990917726,0.18617149953208428,31,1.5718585158201634,0.5455157069088763,31,-0.28623515448651005,2.337427463138213,31,4.806451612903226,0.47744841527364174,31,299.73225806451615,38.590261181605335,31,5.0,0.0,31,3688860.5791936745,18809520.054197744,26,4.643884204901182,13.445210545637412,26,0.27696814044163776,0.3571565185913364,26,-0.4672876050390901,-0.4502915158758306,-0.35974111646565027,0.2828699904724889,1.3655374134213123,1.0287680640552856,-0.586289805870927,1.2813903357215268,1.9482762323182314,0.7818692373096655,-0.30499532237284227,0.9524719462573067,1.21444935528407,1.1015293978717344,-0.5291994905038053,0.32954972475513994,1.972976582614138,1.1415682120985802,-0.5961091057865008,0.6140358210415219,0.958346956675955,0.5421679565825929,-0.6719230241404713,-0.47784653750780376,0.9913142760493586,-0.2887364376861172,0.0,0.0,0.0,0.0,0.0,2.0
Bortezomib,62.65564516129032,1.5510307013593043,31,26.70154440359704,0.5404302404811353,31,0.426436381418249,0.014294248199149899,31,43.403225806451616,3.8160611342908495,31,25.47928518969127,3.3295485824845676,31,0.5850092492985989,0.04928540518189592,31,37.935127,16.167553,31,31.91674663943629,11.78148820483877,31,0.7262463262004237,0.29212205217342146,31,11.15305,1.5531733,31,6.222846131170949,1.385961091255721,31,0.56303275,0.12281429,31,23.438547,13.742534,31,31.16564013496522,11.861249615465281,31,1.1141753465898576,0.4733781992483697,31,68.631294,11.932087,31,20.292401467600175,6.08076593655961,31,0.2897754917221685,0.06680344251518613,31,45.19274,5.0609455,31,17.895197776056104,5.1510826382768915,31,0.4065668,0.13385513,31,-0.9779443374791066,0.22350763045386793,31,1.5296577142152843,0.36386983264706035,31,0.0,0.0,31,0.31422687308389863,0.07148898450394614,31,0.31859212180150287,0.06391542482694483,31,1.0296781204383438,0.15992451776541838,31,28.106217826015087,14.920109376728266,31,35.956691406883635,11.510669733855115,31,1.0691908237752525,0.456576613300713,31,29.59763440860215,8.0635496477139,31,25.530740579407283,3.7988974742167554,31,0.9090515953469851,0.21407736066245947,31,0.5465018031032922,0.12904451170538558,31,0.3143848798670032,0.05134540377175323,31,0.6047918066902548,0.1576241527691011,31,1.7985689047420534,0.5011225116410933,31,0.0780311434774817,0.1102545426854323,31,4.903225806451613,0.3005371535187643,31,307.6161290322581,24.64704305150611,31,5.0,0.0,31,5.479671493943395,10.121769197940491,29,8.462978384875019,18.0990367240005,29,1.414734228417791,0.32792096355559186,29,2.886477566103615,3.655282939353152,4.408120951615932,1.3152078464595927,-0.423956263147447,-0.21719092758153954,-0.28118751706012696,-0.528930461206245,-0.46576267944080474,-0.7809289320354807,-0.6842541668714921,-0.2411115260884865,-0.1623657764084559,-0.14102558958062164,-0.4892908371970615,-0.27200644108203975,0.32170985836621074,-0.058023208707925704,-0.45830468961496024,-0.1535918460367729,-1.2107254725613679,-1.844534038035301,1.7269521805083714,2.1528597354076258,-0.6464946553766385,2.874710130085408,0.0,0.0,0.0,0.0,0.0,1.5
Ceritinib,78.82556547619048,1.1825949933910542,28,11.351465577941367,2.985026364848784,28,0.14434324588142783,0.03826034304607184,28,49.371428571428574,2.013814722224897,28,15.248811507523076,1.363613568385424,28,0.3090531586606576,0.028283450818820367,28,7.497332,22.444847,28,8.470564007759094,13.85056285681794,28,0.3021603396960667,0.661827636032766,28,4.3491054,1.6544355,28,3.024546131491661,2.2891798606879656,28,0.6400799,0.24642085,28,3.0939288,19.357046,28,7.7594719640910625,13.572428078434772,28,0.3232758492231369,0.8247735075538623,28,28.958483,20.275822,28,18.686221246208465,5.352336346962233,28,0.7518275699445179,0.27307095441538315,28,25.864552,6.1798887,28,17.48361329947199,4.5266939118915275,28,0.6756571,0.1614987,28,-0.036750913961516536,0.0806823865972311,28,0.11032569203660143,0.11340244361855543,28,3.209172709272558,8.262708899514568,28,0.2301160290299665,0.09511655543496471,28,0.26124459739000994,0.11495060598751784,28,1.1045450805717139,0.2804983929321541,28,6.075004597148089,20.350817041183376,28,9.163124359402742,13.330485682335208,28,0.33182271769755195,0.7158029698479693,28,49.34562499999999,12.887551346676375,28,19.64556452469758,7.729929992056218,28,0.4649497908825487,0.31289999936330737,28,0.38398172963231614,0.1686386604356768,28,0.2062136032227371,0.0932423754455584,28,0.5835526250915722,0.22128394667582751,28,0.11406534196576823,0.1705007938074955,28,-1.2488133456119144,5.039226678402378,28,4.607142857142857,0.8317445171439015,28,362.4880952380953,63.09708256596554,28,5.0,0.0,28,8.021908244583756,21.91082839944708,8,0.2200357373803854,0.3537227048876865,8,0.7731700465083122,0.6805840648931888,8,0.09527063329173455,0.15601732056478243,0.0070858697053244,-0.29939050882547535,-0.30479081216086434,-0.3060027046376899,-1.0174471234236424,-0.591476540228773,0.003583194017714532,-0.5214140312939595,-0.8726377826763368,-0.631013613846542,-0.10001068024242916,-0.08110680985998264,-0.5413881220121836,-0.7537771753477857,0.13545749349837982,0.4601687303179024,-0.6794032754795383,-0.917940447988298,0.20096496706010866,0.45865501851511864,-0.38804260903561455,-0.14965946328899085,-0.42183944796864775,0.20832855407309317,0.0,0.0,0.0,0.0,0.0,2.0
